item_id,text
Peru,"Peru went from an awful start to an awesome finish in CONMEBOL qualifying as a late run of form allowed them to return to the World Cup after a 36-year absence. After seven games they had managed only four points, and with only five games left they were stuck in eighth place out of 10 teams. The arrival of Gareca took some time to produce results, but officials were wise enough to support the coach, who was eager to give chances to several local, promising players. Gareca finally found a nice blend between youth and experience and the team started producing results. In fact, Peru hasn't lost a match in over a year-and-a-half. Their last defeat was a 2-0 loss against Brazil in November 2016. Since then they have gone undefeated in 12 matches. The Court of Arbitration for Sport's ruling against Bolivia for fielding an ineligible player against Chile and Peru gave both teams points they had not won on the field and encouraged La Blanquirroja to keep fighting for a World Cup berth. In the process, they achieved historic results, such as first-time away wins in Paraguay and in Quito against Ecuador. A final-round draw against Colombia saw them clinch the fifth spot and a ticket to play an intercontinental playoff, in which they were much better than New Zealand and sealed their World Cup return. Peru became a dangerous team by means of their defensive consistency. As a result of strong confidence in their back line, the team started breaking free and venturing forward, becoming very efficient and effective in front of goal. Their third virtue is of a more emotional nature: they are a close-knit group that resembles a family. Without a doubt, this group's weak point is its lack of World Cup experience. Not even their manager has attended the competition, though he came close as a player to being a member of the Argentina national team that won the World Cup in Mexico 1986. Gareca was part of the squad that played the qualification matches; weirdly, he scored a decisive goal in the last round as Argentina made it to the World Cup with a 2-2 tie against ... Peru. As far as the game goes, Peru has always suffered from set play, although they look a lot stronger in this area this time around. Now that he is available again, Guerrero is Peru's main man. The 34-year-old was to have missed the trip to Russia after being suspended for six months by the CAS due to a positive doping test, but his clearance provides a boost. Guerrero scored five goals in qualifying and has a national-team record 34 overall for Peru. Beyond him, the attacking responsibility falls to one of his best friends and the player behind him in that scoring chart, Jefferson Farfan. The Peruvian media feels euphoric. A lot of us haven't ever seen Peru in a World Cup, and the truth is that our love for the national team has been fed mostly by defeats. Every single conversation in the street lands on the World Cup sooner or later. The media and the fans are confident and grateful for what the manager has achieved; both him and the team can count on massive support. Peru should take this World Cup step by step, and their objective should be to get to the round of 16: From that moment on, anything can happen. If Peru get wins against Denmark and Australia, they should end the group stage in second place behind France. After that, logic says Argentina would follow, a very difficult rival and a hard-fought match."
Denmark,"Hareide's side finished five points behind Group E winners Poland, meaning victory in a playoff with the Republic of Ireland was required to send them to Russia. They had mixed cause for optimism: A home defeat to Montenegro had boded ill early in the qualifying campaign, but it was followed last September by a resounding 4-0 win over the Poles. In the playoff, Denmark took the latter course against Ireland. A goalless draw in Copenhagen left all to play for in the second leg, where they proceeded to stun a fervent Dublin crowd by winning 5-1. Few could have seen that coming after Shane Duffy scored early on for the hosts, but Denmark's recovery, led by a thrilling Christian Eriksen hat trick, was remarkable and sent them to the World Cup on an unexpected high. Denmark are powerful, organised and relatively direct, using the height of the 6-foot-3 Nicolai Jorgensen up front to good advantage and sometimes fielding Andreas Cornelius, who stands at 6-foot-4, wide on the right. There is plenty of size and strength elsewhere in the team, with 6-footers Thomas Delaney and William Kvist an industrious pair in central midfield, while captain Simon Kjaer, of Sevilla, is a hugely experienced centre-back. In 12 qualifying games, including the playoffs, they conceded only nine goals. Yet they are hardly a team of long ball merchants and perhaps their greatest quality is the way in which they can mix things up: They have fine technical players such as Eriksen and winger Pione Sisto and are just as capable of prising teams open on the ground. There are obvious issues at full-back, where Hareide is struggling to settle on a convincing pairing. The left-back spot is a particular concern: Jens Stryger Larsen of Udinese operated there during the playoffs in the absence of Riza Durmisi, who was injured, but Nicolai Boilesen is also an option, and Ipswich's Jonas Knudsen was given the shirt in March's goalless draw with Chile. There is no stand-out contender for the role, and there is a dilemma at right-back, too. Andreas Christensen filled in during the second leg against Ireland to good effect but is a central defender by trade, and there is a risk Hareide may try too hard to shoehorn him in. Stryger Larsen could move to his favoured position, while Peter Ankersen and Henrik Dalsgaard are also tried-and-tested options, but the solution is not yet clear. Another common gripe is that Kvist and Delaney are not a combination given to moving the ball smoothly enough between defence and attack. Christian Eriksen is the man who lifts Denmark above the mean. He is one of the best playmakers in world football and the man who will be relied on heavily if they are to advance far this summer. He operates in the No. 10 position for Hareide and was near-unstoppable in the qualifiers, scoring eight times even before that unforgettable occasion in Dublin. Hareide called him ""an inspiration to those around him, a world-class player"" after his hat trick, and it is true that when Eriksen is on song, Denmark invariably are, too. While the emergence of Sisto -- the 23-year-old Celta Vigo player is a fine talent and scored the winner against Panama in March -- is welcome, there is nobody else who can don Eriksen's mantle right now. Several Danish experts have predicted that Hareide's players have a great opportunity to earn second place in the group. Group C might be more open than it looks with France clearly vulnerable, but Denmark are likely to battle it out with Peru for second place. Their experience -- and Eriksen -- will see them through, but it is hard to see them going beyond the last 16."
Argentina,"Though Argentina finished third in CONMEBOL qualifying, the road to get there was full of bumps. Namely, unexpected defeats at home against Ecuador and Paraguay, a draw against Venezuela, a hard 3-0 loss when visiting Brazil and three different managers (Gerardo ""Tata"" Martino, Edgardo Bauza and Jorge Sampaoli). To make matters worse, Lionel Messi's absence from several matches confirmed once more that the team relies unconditionally on his participation. In fact, it wasn't until the captain's hat trick in the final qualifier against Ecuador in Quito that Argentina finally found a sense of calm and secured qualification. Though Argentina finished third in CONMEBOL qualifying, the road to get there was full of bumps. Namely, unexpected defeats at home against Ecuador and Paraguay, a draw against Venezuela, a hard 3-0 loss when visiting Brazil and three different managers (Gerardo ""Tata"" Martino, Edgardo Bauza and Jorge Sampaoli). To make matters worse, Lionel Messi's absence from several matches confirmed once more that the team relies unconditionally on his participation. In fact, it wasn't until the captain's hat trick in the final qualifier against Ecuador in Quito that Argentina finally found a sense of calm and secured qualification. The mental aspect and their will to end their drought are also very important factors in the face of the last chance several members of the squad will have to finally win a major tournament.Besides having the best player in the whole world, Argentina boast a plethora of other offensive players who are able to disrupt opponents with ease. Even though they are part of the group that has been harshly criticized after their losses in the finals, the credentials of players such as Angel Di Maria, Sergio Aguero and Gonzalo Higuain, just to name some forwards who excel in Europe, are undeniable. If they are on and if they finally understand how to play around Messi, the Albiceleste should feel enthusiastic. A few days prior to Russia 2018, nobody knows who will play in the key positions. This, in part, is because Sampaoli has tried different names and systems but is also due to injuries suffered by several key members of the team. The constant swaps by the manager, with very different styles and formations, had a negative impact on the team. Lucas Biglia and Aguero, undisputed starters for Sampaoli, will arrive in Russia with little playing time. Ramiro Funes Mori and Marcos Rojo, formerly irremovable in defense, have both been sidelined for extended periods. In midfield, there are more doubts than certainties. Until the World Cup starts, the real state of this team remains unknown. By the way, Argentina were badly beaten by Spain (6-1) in their last friendly match. What can we say about Lionel Messi that hasn't already been said? In addition to his great season with Barcelona, leading Barca to the Copa Del Rey and La Liga titles, he has been resting in order to face his main challenge: the World Cup. When he announced his exit from the national team after the loss in the Copa America Centenario 2016, a general cry for his return was massively heard. Luckily, he ended up changing his mind and has become, once more, the face of the Argentine team. Heading into Russia 2018, Argentina's hopes rest heavily on the shoulders of their No. 10, captain and superstar. Argentina will be World Cup champions, guided by Lionel Messi, the best player in the history of the game. A good 99 percent of predictions are useless when talking about a World Cup. There could be as many as seven games in a month and the truth is that anything can happen. The draw left Argentina in Group D, with surprising Iceland, dangerous Croatia and a very familiar face in Nigeria. It won't be easy but Argentina are the favorite to win the group. If things happen as expected, the team should advance to the round of 16 and then, to the quarterfinals. But unlike in Brazil 2014, where the path to the finals was relatively easy, in Russia the Albiceleste could end up facing Spain, Brazil and Germany once more. Messi and co already know this: this time around, they have to become the champions."
Iceland,"Iceland finished top of a keenly contested Group I in UEFA qualifying, therefore progressing to Russia automatically. A playoff place looked their most realistic hope until the penultimate matchday, when they secured a stunning 3-0 win in Turkey and left the pitch to find Finland had improbably equalised against Croatia. It left a previously tight group wide open for them to qualify with a 2-0 win over Kosovo three days later. An experienced, remarkably tight-knit squad blends a formidable work ethic with seemingly boundless self-belief. Iceland would never claim to have the world's best players, but many of Hallgrimsson's side have developed together and have complete faith in each. At international level, it is a rare quality; essentially, they have the togetherness of a club side, and it means that even when situations seem to be working against them, nobody loses their head. They have plenty more going for them: While they became known for their physical, direct style at Euro 2016, they have more technical qualities than they are given credit for -- and Hallgrimsson has introduced a new level of tactical flexibility, too. If World Cups were won purely on spirit, then Iceland would be front-runners, but they are unlikely to have the depth of quality for a run far beyond the group stage. They need everyone fit to have a chance, and there have been a number of worries leading up to the tournament, inconveniently regarding their most important attackers. Gylfi Sigurdsson will only just be back from a knee injury and possibly not match-fit, while their Euro 2016 centre-forward Kolbeinn Sigthorsson will probably miss out having barely kicked a ball since sustaining a medial meniscus injury in September 2016. Alfred Finnbogason, another key forward, has also struggled for fitness. Iceland need at least two of them available and also hope their captain, Aron Gunnarsson, recovers from a knee injury in good time -- but fitness is not the only issue. A lack of pace across the side, particularly in defence, is particular drawback that will be hard to address before the World Cup. There is no doubt about it: Gylfi Sigurdsson has star quality, and even if this has been an underwhelming campaign after his big-money move to Everton, he's the man Iceland know can add inspiration to buckets of sweat. He proved it in the decisive Kosovo game, seizing upon an error to put them ahead shortly before half-time, when nerves were clearly telling elsewhere. He also scored two vital qualifying goals against Ukraine. In total, he has found the net 18 times for his country, but his wider contribution is worth even more. If he is healthy in Russia, Iceland have a player who can turn games from nowhere; without him, their job would look considerably harder. I have to believe in the team and believe in going through; this is probably the most difficult draw we could get Iceland will put up an almighty scrap yet again, but fitness issues surrounding key players are a big concern, and they will fall just short of progressing from the World Cup's tightest group."
Croatia,"Croatia had significant problems in UEFA Group I, and managed to secure second place behind Iceland on the last matchday thanks to the 2-0 win in Ukraine The federation decided to fire the coach, Ante Cacic, just a few days previously, following the sensational 1-1 draw at home with Finland, and named the little-known Dalic as his replacement. Dalic eventually managed to lead the team to a 4-1 aggregate win over Greece in the playoffs, but the general feeling was that Croatia should have made the qualification process much easier. Losses in Iceland and in Turkey left a sour taste, and the Croats managed to score only 15 goals in 10 group fixtures. To put it simply, Croatia possess some of the best midfield options in the world. In Real Madrid's Modric and Mateo Kovacic, Barcelona's Ivan Rakitic and Inter Milan's Ivan Perisic and Marcelo Brozovic, they can rely on true world-class performers in this area and this is the core of their team. Add quality up front in Juventus' Mario Mandzukic, Milan's Nikola Kalinic and Hoffenheim's Andrej Kramaric, and you get a magnificent lineup that is capable of beating any team on their day. Indeed, Croatia deservedly won against Spain at Euro 2016, and they will never feel inferior against any rivals. Most of the players are experienced at the big stage as well because they play for top teams in the best leagues. They won't be overwhelmed at the World Cup. Attitude is the biggest problem Croatia are expected to face, and we are not talking about the players. Anonymous coaches appointed in recent years (first Cacic and now Dalic) are seen as puppets who don't make decisions themselves, and it is unclear whether the stars can respect them. Dalic is very inexperienced and has already proved to be nervous under pressure. The media atmosphere surrounding the team is usually quite problematic, and it could hurt the nation's chances. On the pitch, defence is the weakest link, as Dejan Lovren, Domagoj Vida and Sime Vrsaljko are all error-prone, whereas 32-year-old Vedran Corluka has only recently recovered from a serious knee injury. Luka Modric is one of the very top midfielders of his generation and this could be the last World Cup for the 32-year-old superstar. Visionary and technically sublime, the captain is the ultimate playmaker for Croatia, and the game tends to go through him, especially when he is on song. We have quite a few big names in the squad. Those guys represent top clubs, and they are experienced playing together for the national team. The 2018 World Cup is the last chance for this extraordinary generation, which is the finest the country had produced since the bronze-winning heroes of 1998. Taking talent into account, they could possibly go far, but on the other hand they still don't have an established style that would make the team more than just a sum of individual parts. A positive atmosphere within the squad and a coach who is respected are crucial to success. Croatia lack those specific ingredients and they are in a very tough group with Argentina, Iceland and Nigeria. In fact, Iceland managed to finish ahead of them in their UEFA qualifying group and it is likely to happen again on the big stage. The potential is remarkable, but if one has to make a prediction, one could see a group stage exit. "
Nigeria,"Despite being drawn in a group alongside Algeria, Zambia and African champions Cameroon, Nigeria made light work of their opponents and qualified with 14 points. It would have been more had their final match not been awarded to the Algerians after the Super Eagles fielded an ineligible player, although that administrative misdemeanour couldn't overshadow memories of convincing victories over the Indomitable Lions and the Fennecs. Beyond securing the Eagles' spot in Russia, the qualifying campaign also served to restore the nation's belief in the team and herald in Gernot Rohr's new era. There's on-field strength across the park, with every area apart from goalkeeper and arguably centre-forward stocked with options. However, perhaps the Super Eagles' key asset is the unity, morale and belief of this group of players. Rohr has overlooked many of the underachievers of previous regimes and placed his faith in youngsters, many of whom have stepped up seamlessly to the international arena. The likes of Alex Iwobi, Kelechi Iheanacho and Wilfred Ndidi marry youthful exuberance with the mentality required to succeed in the Premier League, and Nigeria have enjoyed a largely serene buildup to the World Cup. Goalkeeper remains a concern for Rohr following Vincent Enyeama's departure from the international scene and Carl Ikeme's leukemia diagnosis. The coach appears to have lost faith in his initial go-to stopper, Ikechukwu Ezenwa, and plumped for 19-year-old Francis Uzoho to start between the sticks in Nigeria's recent friendlies. The youngster overcame a nervy start to keep Robert Lewandowski at bay as Poland were beaten, but with only 180 minutes of La Liga football under his belt with Deportivo La Coruna, the inexperienced Uzoho is in danger of being exposed in Russia. John Obi Mikel remains the Super Eagles' talisman, even if Iwobi and Victor Moses may make more eye-catching contributions. The central midfielder offers terrific experience, having won the Champions League, the Europa League, the African Cup of Nations and two Premier League titles, and is considered something of a father figure by the squad's new blood. If the Super Eagles are under pressure, he plays a key role in controlling the tempo, retaining possession and ensuring the side maintain their structure. And as he has demonstrated in the Chinese Super League so far this term, he remains capable of making a decisive impact in the final third as well. This team remains inordinately reliant on its spine of Leon Balogun, John Obi Mikel and Victor Moses. That in itself is not a bad thing. Every team has a spine to build upon. However, what is increasingly glaring is that the level of the side without them does not so much depreciate as it does disappear altogether. It is one thing to go from a good side to a not-so-good side, and quite another to go from a good side to a turgid, bereft one. There was optimism in Nigeria after the World Cup draw was revealed, with Super Eagles fans boosted by a recent friendly victory over Argentina after being paired once again with the Albicelestes. However, the West Africans must play well to escape the first round, with Croatia and Iceland completing a tricky group that will take some negotiating. A recent friendly defeat by Serbia should help the Eagles come back down to earth, but while that loss may refocus attention on the squad's deficiencies, the goalkeeping issue continues to cast a long shadow and may yet destabilise the team in Russia."
Brazil,"Qualification began when Dunga was coach, and Brazil were not playing good soccer. When the coach was sacked, the team was in sixth place and at risk of not making it to Russia. The arrival of Tite completely changed the scenario. Players recovered their form, rivals started to fear them again and the good results poured in. Brazil became the first national team (after the hosts) to secure its place in the World Cup, finishing top of the South American qualifiers. Brazil's greatest quality is the fact the team doesn't rely on Neymar as heavily as in the 2014 World Cup, when its game depended on the player's individual moves. Brazil's greatest quality is the fact the team doesn't rely on Neymar as heavily as in the 2014 World Cup, when its game depended on the player's individual moves. This change became clear from the moment Tite took over the national team. With a new coach and a new game, Neymar was given more freedom to play and the team became an actual team. The mixture has resulted in something interesting. There are familiar faces (Dani Alves and Marcelo), new assets (Casemiro and Gabriel Alves) and athletes who have emerged across the European soccer scene (Philippe Coutinho and Willian). This is a team that knows how to pass the ball, how to attack and also how to defend. And Neymar is the cherry on top. It is hard to talk about weaknesses when you have a balanced team. They do exist, though. There are three points to focus on here, and the first one is tactical. Dani Alves and Marcelo are wingers with attacking abilities who like to play forward and are essential in making things happen. Therefore, extra caution is required for these spaces not to be explored by the opposition. Second is experience, not in terms of each player but the team itself up against elite rivals. Brazilian players under Tite's command had few tests against the top teams on the planet. Will this matter at the World Cup? Maybe. Third is Neymar. His foot injury has left him out of the game since Feb. 26. How will he be after all this time off the pitch? Again, Brazil don't rely only on him, but the thought of playing without their star is, to say the least, worrying. All the spotlights will be fixed on Neymar. In 2010, the then-wannabe star was out of the call-up. The early elimination against the Netherlands left a question: would it have been different with him on the field? A star in 2014, he saw his World Cup end in an injury against Colombia and witnessed from afar the 7-1 Brazilian defeat against Germany. The question remains: would it have been different with Neymar in the pitch? We will never know. Two years later, Neymar was the star of the gold-medal team in the Olympic Games of Rio de Janeiro, an achievement yet to be conquered then in the trophy-riddled room of the Brazilian national team. Now it is going to be the showdown. There are still doubts; after all, Neymar hasn't played since February and there is no knowing how he will come back. Regardless, he is the top player of the top national team in the planet. Everyone wants to see Neymar play. Even Neymar himself. Brazil is among the favorites to the World Cup title. With Tite, the national team became strong collectively and has potentialized individual talents. Tite's taking over the national team has brought new stamina to the players, to the federation, and mostly, to the fans, who had lost their faith in the soccer played by the national team. Neymar's injury, however, raises a major interrogation mark. If the PSG star comes back to the pitch with limitations, Brazilian hopes to get the sixth title decrease. However, if the No. 10-shirt ace comes back 'in one piece,' the cup gets closer. The 7-1 result still echoes in our heads. And to erase what happened in 2014, there is only one remedy: the title. A beautiful game might be put aside in favor of results, and that is what the fans want. Can Brazil be the champion? Yes. Do they have the team for that? Yes. It doesn't even occur to many Brazilian fans that the World Cup can end before the final. And while losing the title would not be a disaster as long as the team shows the will to win, winning the competition would mean redemption."
Switzerland,"It ended up being the tightest of squeezes for Switzerland, who edged past Northern Ireland in the play-offs with a 1-0 aggregate win thanks to Ricardo Rodriguez's first-leg penalty. The award of that spot-kick was furiously contested, too: it was given for handball by the home side's Corry Evans when the ball had in fact struck his shoulder. In fairness, Switzerland had ranked highest of the nine second-placed sides in the group stage and were almost unstoppable in the group stage. They entered their final Group B match, in Portugal, with a 100 percent record and had caught the European champions cold with a 2-0 home win early on. But Portugal won all their subsequent games in an otherwise weak group, meaning Switzerland would have to settle for the play-offs if they lost in Lisbon. The Euro 2016 champions avenged that earlier two-goal defeat and progressed; fortunately Switzerland followed them even if it took a slice of luck. The flanks are Switzerland's most obvious strong point. Serie A pair Stephan Lichtsteiner (the captain) and Rodriguez are both outstanding players and support attacks unstintingly even though the former is now 34. Rodriguez, of AC Milan, has an exceptional left foot that poses a considerable threat both from set pieces and open play. There is good depth, too: should anything happen to Lichtsteiner then Basel right-back, Michael Lang -- who scored winners against both Manchester United and Manchester City in this season's Champions League -- is no mean deputy. The full-backs combine well with some exciting options further forward: Xherdan Shaqiri will probably start on the right while Hoffenheim's Steven Zuber is a danger on the opposite flank. An exciting alternative is Basel loanee Dimitri Oberlin, just 20, who received his first national team call-up in March and is blessed with frightening pace. Where will the goals come from? Switzerland's centre-forward options have largely fallen short in major tournaments but they look likely to start with Haris Seferovic, who hasn't pulled any trees up with Benfica this season, leading the line again. Seferovic did score a winner against Ecuador at the 2014 World Cup but drew a blank at Euro 2016 and falls short of the quality needed to provide a reliable cutting edge. Josip Drmic, of Borussia Monchengladbach, is a more natural finisher but has played little football this season while Breel Embolo -- still a huge prospect at 21 years old -- has had a difficult season with Schalke and is yet to hit consistent form. Mario Gavranovic, who plays in Croatia for Dinamo Zagreb, is the only striker scoring consistently but there is no real indication that he can make the difference at a World Cup. Attacking midfielders are arguably the most valuable players in football these days and Switzerland's fortunes in Russia may depend directly on how well Xherdan Shaqiri fares. It has been a difficult season domestically for the Stoke schemer, due to their relegation from the Premier League rather than any particularly poor personal form, and he will need to clear his head quickly. It is startling to remember that Shaqiri, who had won 68 caps before the pre-tournament friendlies, is still just 26: he has been his country's most important creative force this decade and has delivered at major competitions before, memorably scoring a stunning bicycle kick from 18 yards in the Euro 2016 draw with Poland. More of the same will be needed in a side that, while capable of playing attractive football and possessing a range of attacking options, lacks genuine top-drawer talent elsewhere. Shaqiri, who would do his hopes of joining a bigger club next season no harm with a strong World Cup display, could hold the key to a successful tournament. Costa Rica and Serbia are two teams we can defeat... and if everything goes to plan, then we would probably meet Germany in the round of 16. Switzerland's second game, against Serbia, already has a ""showdown"" sort of feel to it. The battle will probably go to the wire but Petkovic's team will fall just short of the runners-up spot and that likely clash with the Germans."
Costa_Rica,"Costa Rica won their group with 16 points to advance to CONCACAF's Hexagonal phase. In their first game of the round they defeated Trinidad & Tobago, and days later scored a resounding 4-0 win over the United States. La Sele's first loss came in their next game against Mexico, and they earned just two points in ensuing draws against Honduras and Panama. But in their final five games of the Hexagonal, Costa Rica again defeated Trinidad & Tobago and the U.S., virtually punching their ticket to Russia. The Ticos finished in second place with 16 points despite not winning any of their last three games in the final round. Defense, first and foremost. Costa Rica had the second-best unit of the Hexagonal, allowing just eight goals. Centre-backs Kendall Waston, Giancarlo Gonzalez and Johnny Acosta showed a good level of play throughout the qualifying round. And the case could be made that the true strength of Oscar Ramirez's back half lies in his ""wall,"" as Keylor Navas is considered one of the world's best goalkeepers. There is a consensus that, despite the 14 qualifying goals, Costa Rica need a natural centre-forward. Betis' Joel Campbell just returned to action in Spain after rehabbing an injury, and Marco Urena of Major League Soccer's LAFC underwent surgery to repair broken bones in his face sustained in an April collision. Both strikers risk arriving in Russia with some rust to knock off. Keylor Navas, without question. Real Madrid's keeper is also the leader of the Costa Rican side, and any shot at advancing out of the group stage will be tied to his performances. A good showing in the Champions League final with Real could result in some momentum. The Ticos' biggest accomplishment is being among the 32 teams that will participate in the tournament, since almost nobody in Costa Rica can imagine repeating the feat from four years ago: Losing on penalty kicks to Holland in the quarterfinals. Costa Rica sit in Group E with Brazil, Serbia and Switzerland. On paper, Brazil are virtually assured a berth in the round of 16. The Ticos will be contenders for the second spot, but if they wish to advance it's imperative they win their matchups against Switzerland and Serbia. In case Costa Rica reach the knockout stage, they could face defending champion Germany or CONCACAF rival Mexico."
Serbia,"Topping Group D in the UEFA qualifiers was no mean achievement for Serbia, but it caused surprisingly little fanfare at home. Their place at Russia 2018 was confirmed with a 1-0 home win over Georgia, but the celebrations were relatively muted, perhaps because disappointment still lingered at a late 3-2 defeat in Austria three days earlier. Qualifying in such serene fashion had seemed a tall order at the outset, though, with Wales and the Republic of Ireland joining the Austrians in the group. Serbia were consistent throughout, and an ultimately decisive moment came in September 2017, when Kolarov's goal gave them a 1-0 win in Dublin. There were only two games left to play after that; Serbia finished the job, although that was not enough to save their manager, Slavoljub Muslin, from being sacked. If Serbia can fine-tune it in time, they have a midfield that can match up to almost any in Russia. The steel and composure of Nemanja Matic need little introduction, and Luka Milivojevic has had a fine season with Crystal Palace; if Sergej Milinkovic-Savic, the prodigious Lazio playmaker, can be bedded in alongside them, it comes close to the complete package. A failure to accommodate Milinkovic-Savic in the qualifiers was largely what accounted for Muslin's dismissal; he was swiftly called up to face South Korea and China in November but missed the March friendlies through injury. Even if he does not start Serbia's opening game against Costa Rica, there is plenty of hope elsewhere. This is a technically gifted side that can be lethal on the counter and should not lack creativity. Serbia has punched spectacularly above its weight in terms of player production for many years and the sense has long persisted that the national team is less than the sum of its parts. They looked far more cohesive -- not to mention motivated -- in qualifying, but there are still areas of doubt. Pace is lacking in a defence that has long been marshalled by Branislav Ivanovic, 34, while Kolarov and Antonio Rukavina, their full-backs, are aging, too. Ivanovic's place may yet be in doubt, with Krstajic relieving him of the captaincy in March and noting that ""no one can take a spot in the 23-man spot for granted."" The manager prefers a four-man back line to the 3-4-3 system deployed by Muslin and the system may not be perfected by mid-June. More broadly, Serbia can find it hard to sustain a high tempo for 90 minutes; they have a habit of switching off at key moments and will need to address that if they are to make it through the group stage. Aleksandar Mitrovic enters this tournament in devastating form. There was never any doubt about the centre-forward's importance to the national team -- he scored six goals in qualifying -- but his Premier League opportunities at Newcastle United were limited and a loan move to Championship promotion hopefuls Fulham looked an unwelcome step back. But Mitrovic was electric at club level during the second half of the campaign, breaking off to score twice in Serbia's 2-0 win over Nigeria, and he showed that with creative players behind him, he is still one of Europe's most interesting young striking prospects. He is still just 23 and has plenty of scope to improve; he currently seems to be in the best shape of his career and the natural choice to lead the line for a Serbia side whose attacking play has improved considerably in the past two years. Mitrovic would be hard to replace in the event of injury, although Milinkovic-Savic stands to be similarly influential if he is successfully accommodated in the starting lineup. Brazil is the world's most sophisticated selection and will be favourite for first place in the group. ... [It] is realistic to expect the Eagles to fight for the second stage with the Costa Ricans and the Swiss. The smart money is on a jostle for second place with a Switzerland side that has more tournament experience. Serbia will pip them to the round of 16 but, with Germany their likely opponents at that stage, further progress looks to be a long shot."
Germany,"World Cup holders Germany were never in danger of not qualifying for Russia. Low's men finished Group C with a 100 percent record, beating Northern Ireland, Czech Republic, Norway, Azerbaijan and San Marino at home and away. They conceded only four goals and scored 43: the highest total in all European groups alongside Belgium. Germany were in control of their group from the outset and also found the energy to win the 2017 Confederations Cup with an inexperienced ""B squad."" Future Bayern Munich midfielder Leon Goretzka in particular impressed as he announced himself on the world stage. One again going to the World Cup without a star player, Germany's biggest strength has always been the team spirit, the idea that a strong group of players will always be superior to individual talents -- and they have such squad depth they've been able to leave Manchester City's Leroy Sane behind. With most players available for the training camp after the Bundesliga's plight in Europe, Low will be able to work on ideas for the big games in the knockout stages. Backed by one of the most advanced data systems in world football, they will not only develop strategies for both attack and defence but also continue to improve their set-piece tactics. At the 2014 World Cup, Germany scored five goals from set pieces -- more than any other nation. Although they're not overly reliant on individuals, the possible loss of goalkeeper Neuer could turn into a problem. Redefining goalkeeping at the 2014 World Cup, especially in the round-of-16 match against Algeria, the Bayern and Germany captain has not played a minute of football since September. He hopes to be fit in time for the opening match, but doubts over his fitness and his confidence in his body will remain. Barcelona's Marc-Andre ter Stegen, the backup solution, is a very good option, but Neuer still ranks above him. The goalkeeper spot could become Low's catch-22. Toni Kroos has been the unsung hero of the Germany team for many years now. The Real Madrid player has played in seven consecutive Champions League semifinals for Bayern Munich and the Spanish giants, whom he joined in 2014. He dominates midfield, and his calm distribution dictates the pace of Germany's game. His ability to get himself into dangerous positions near the box make him one of the most complete midfielders in world football. If there are no major upsets, and the favourites reach the last four, this will be where Germany bow out. Like many of my peers, I believe the squad is more balanced than in 2014. But the competitors have caught up. France, Brazil, Belgium, England: one of them will beat Germany. The Germany team has been flying high ever since the reboot of German football in the early 2000s. They have reached the last four at the 2006, 2010 and 2014 World Cups, and the 2008, 2012 and 2016 European Championships. Coming out of a difficult season for Bundesliga football, where Bayern again walked away with the title but were stopped in Europe once again, some players might be running low on confidence. On top of that, in recent tournaments defending champions Italy and Spain both failed to make it to the knockout stages. In spite of that, Low's XI will beat the curse of the titleholders and should reach a seventh consecutive semifinal. From there it's just a short walk to the final."
Mexico,"Mexico advanced to CONCACAF's Hexagonal round with 16 points, good enough for first place in their group. El Tri kicked off the final phase with a historic 2-1 win over the United States in Columbus, Ohio. Next came a scoreless draw in Panama, but Mexico won in its next three games. In its last five games in the round, Mexico secured two wins, two draws and a loss, and Juan Carlos Osorio's side wrapped up the qualifying phase in first place with 21 points. Mexico draws strength from its defense, displayed in all its glory during a Hexagonal round in which it allowed just seven goals. On offense, Hirving Lozano and Carlos Vela are having solid seasons with their respective clubs. Both could be key to El Tri's longstanding hopes of reaching the quarterfinal round. A major hole comes from Mexico's struggles to regain possession at midfield, which would help at both ends. El Tri also need a natural full-back who could pair with Miguel Layun. Several players have filled in, but few have thrived. Moreover, many fans believe Mexico's weakest link lies on its bench: Osorio has yet to establish a style of play, and his questionable rotations have been the target of much criticism. Hirving Lozano has emerged as Mexico's main figure for the World Cup. In just his first season in Europe, the young striker established himself as an important player for PSV. As a result, Mexico has pinned its hopes of reaching the quarterfinals on him. A good performance in Russia could prompt more elite European clubs to pay attention to “Chucky."" One must be a realist. I see a complicated group when it comes to the next round, truth be told. Thinking that Germany will win the group, Mexico will battle Sweden for second place. Perhaps people don't want to think beyond that because the next phase doesn't bode well for Mexico -- it's more likely that the Mexicans finish in second place, and that Brazil earns first in its group and would be the next opponent. The truth is a fifth game seems like a long shot. Mexico is in Group F with Germany, Sweden and South Korea, and will battle for the group's second berth because the defending champion Germans will almost assuredly earn the first-place slot. El Tri starts against Germany, and a good effort in that game could be key in the ensuing matchups and in their quest for the round of 16. If they pull through, Mexico could face Brazil and thus a tall order to reach the quarterfinals."
